year; month; day; hour; minute; second; latDirection; lonDirection; latitude; longitude; latDegree; lonDegree; depth; high; starID; sog; cog
2024; 10; 13; 8; 54; 18; E; N; 5001.957500; 1959.683600; 50.032623; 19.994726; 132; 210.69; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 23; E; N; 5001.957000; 1959.683600; 50.032619; 19.994726; 132; 210.50; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 27; E; N; 5001.957000; 1959.683800; 50.032619; 19.994730; 131; 210.19; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 31; E; N; 5001.957000; 1959.684000; 50.032616; 19.994734; 131; 210.09; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 35; E; N; 5001.957000; 1959.684100; 50.032612; 19.994736; 128; 210.00; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 39; E; N; 5001.956500; 1959.684200; 50.032612; 19.994738; 127; 209.90; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 43; E; N; 5001.956500; 1959.684300; 50.032608; 19.994738; 130; 209.80; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 47; E; N; 5001.956500; 1959.684300; 50.032608; 19.994738; 131; 209.69; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 51; E; N; 5001.956500; 1959.684200; 50.032608; 19.994738; 131; 209.50; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 55; E; N; 5001.956500; 1959.684300; 50.032608; 19.994740; 129; 209.30; 9; 0.00; 0.00
2024; 10; 13; 8; 54; 59; E; N; 5001.956500; 1959.684400; 50.032604; 19.994740; 128; 209.19; 9; 0.00; 0.00
2024; 10; 13; 8; 55; 3; E; N; 5001.956500; 1959.684400; 50.032604; 19.994740; 99; 209.00; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 7; E; N; 5001.956100; 1959.684400; 50.032604; 19.994741; 1611; 208.80; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 12; E; N; 5001.956500; 1959.684400; 50.032608; 19.994741; -1855; 208.59; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 16; E; N; 5001.956500; 1959.684400; 50.032608; 19.994741; -1858; 208.59; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 20; E; N; 5001.956100; 1959.685700; 50.032604; 19.994761; -1855; 209.30; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 24; E; N; 5001.955600; 1959.686600; 50.032597; 19.994778; -1855; 209.09; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 28; E; N; 5001.955600; 1959.686600; 50.032593; 19.994778; 154; 209.00; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 32; E; N; 5001.955600; 1959.686400; 50.032589; 19.994774; 159; 208.80; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 36; E; N; 5001.955600; 1959.686600; 50.032593; 19.994778; 149; 208.59; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 40; E; N; 5001.955600; 1959.686600; 50.032593; 19.994778; 149; 208.40; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 44; E; N; 5001.955600; 1959.686800; 50.032593; 19.994780; 149; 208.19; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 48; E; N; 5001.955600; 1959.687000; 50.032593; 19.994783; 160; 208.00; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 52; E; N; 5001.955600; 1959.687300; 50.032589; 19.994787; 161; 207.80; 10; 0.00; 0.00
2024; 10; 13; 8; 55; 57; E; N; 5001.955100; 1959.687400; 50.032585; 19.994791; 158; 207.50; 10; 0.00; 0.00
2024; 10; 13; 8; 56; 1; E; N; 5001.955100; 1959.687600; 50.032585; 19.994793; 149; 207.30; 10; 0.00; 0.00
2024; 10; 13; 8; 56; 5; E; N; 5001.955100; 1959.687700; 50.032585; 19.994797; 109; 207.09; 10; 0.00; 0.00
2024; 10; 13; 8; 56; 9; E; N; 5001.955100; 1959.687700; 50.032585; 19.994797; 101; 207.09; 10; 0.00; 0.00
